Women's Sychronized swimming; duet,21
Men's Double American Round,24
Men's Au cordon doré 33m,24
Individual moving bird; 33 metres,24
Men's Archery; team,24
Women's Double Colombia Round,24
Individual Fixed Large Bird,24
Men's Sur la perche á la herse,24
Individual Moving Bird; 28 metres,24
Men's Au chapelet 50m,24
Double York Round Men,24
Women's Archery; individual,24
Men's Continental Style,24
Individual moving bird; 50 metres,24
Men's Au cordon doré 50m,24
Men's Au chapelet 33m,24
Men's Sur la perche á la pyramide,24
Men's Archery; individual,24
Women's Double National Round,24
Individual fixed small bird,24
Women's Archery; team,24
Men's 10km Pursuit,31
Men's Cross Country; 10km,31
Men's Individual Sprint,31
Men's 50 km; Mass start,31
Women's 10 km,31
Women's 15 km Pursuit,31
Women's Cross-Country; 30km,31
Men's Cross-country; 50km,31
Men's 20km Pursuit (10km + 10km),31
Women's Team Sprint,31
Men's 30 km freestyle mass start,31
Women's 20km,31
Men's Cross-Country; 15 km,31
Women's 15km,31
Men's 50km freestyle,31
Women's 5km,31
Men's Team Sprint,31
Men's Cross Country - 30km Pursuit,31
Men's 15km Pursuit,31
Women's 15km Freestyle Mass Start,31
Men's Combined Pursuit  (10km + 15km),31
Women's 4x5 km Relay,31
Women's 10 km Pursuit (5 km + 5 km),31
Women's Individual Sprint,31
Women's 30km Cross-country Freestyle,31
Women's 10km Pursuit,31
Men's Cross-Country; 18km,31
Women's 30 km; Mass start,31
Men's Cross-country; 30km,31
Women's Combined Pursuit  (5 km + 10 km),31
Men's 50 km classical,31
Men's 4x10 km Relay,31
Women’s Curling Tournament,33
Men's Curling Tournament,33
Individual Dressage,35
Team Dressage,35
Individual vaulting,37
Women's Team Pursuit,38
Women's 500 m,38
Women's 5000 m,38
Women's 1500m,38
Men's Team Pursuit,38
Women's 1000m,38
Men's Speed Skating; All Around,38
Men's 1500m,38
Women's 3000 m,38
Speed skating - Men's 5000m,38
Men's 1000m,38
Men's 10000m,38
Men's 500m,38
Women's Skeleton,39
Men's Skeleton,39
Women's Ski Jumping,41
Men's Individual Large Hill,41
Men's Team Large Hill,41
Men's Individual Normal Hill,41
Men's Large hill individual,41
Men's boxing welterweight 62-67kg,44
Men's Boxing; Lightweight 58-62kg,44
Men's Boxing; Bantamweight 47.6-52.2 kg,44
Men's Boxing; Super Heavyweight +91kg,44
Women's Boxing; Middleweight 75kg,44
Men's Boxing; Lightweight 57 - 60kg,44
Women's Boxing; Lightweight 60kg,44
Men's Boxing; Heavyweight +81,44
Men's boxing; lightweight 57.2-61.2 kg,44
Men's boxing; Light Middleweight 67-71kg,44
