Iocode,event,medal,medalist
ESP,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,2,Javier Bosma;Pablo Herrera
SWE,Cross-country skiing at the 2006 Winter Olympics - 4 x 10 Km relay,3,Anders Södergren;Johan Olsson;Mats Larsson;Mathias Fredriksson
RUS,Volleyball at the 2000 Summer Olympics - Women's volleyball,2,Elizaveta Tichtchenko;Natalya Morozova;Evgenya Artamonova;Inessa Korkmaz;Elena Tyurina;Elena Godina;Olga Potachova;Lioubov Chachkova;Tatyana Gratcheva;Anastassia Belikova;Elena Vassilevskaya;Ekaterina Gamova
BRA,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,,Benjamin Insfran;Marcio Araujo
CHN,Gymnastics at the 2008 Summer Olympics - Men's pommel horse,1,Xiao Qin
USA,Swimming at the 2008 Summer Olympics - Men's 4 x 100 metre medley relay,1,Aaron Peirsol;Brendan Hansen;Michael Phelps;Ian Crocker;Mark Gangloff;Garrett Weber-Gale;Jason Lezak;Matt Grevers
LAT,Weightlifting at the 2008 Summer Olympics - Men's Super Heavyweight +105 kg,3,Viktors Š?erbatihs
GBR,Athletics at the 2012 Summer Olympics – Women's heptathlon,1,Jessica Ennis
HUN,Swimming at the 2012 Summer Olympics – Men's 200 metre breaststroke,1,Dániel Gyurta
CAN,Diving at the 2000 Summer Olympics - Women's synchronized 10 metre platform,2,Émilie Heymans;Anne Montminy
RUS,Athletics at the 2008 Summer Olympics - Men's high jump,1,Andrey Silnov
NED,Judo at the 2008 Summer Olympics - Women's 57 kg,2,Deborah Gravenstijn
CRO,Swimming at the 2004 Summer Olympics - Men's 50 metre freestyle,2,Duje Draganja
USA,Snowboarding at the 1998 Winter Olympics - Men's Halfpipe,3,Ross Powers
CHN,Diving at the 1996 Summer Olympics - Women's 10 metre platform,1,Fu Mingxia
CAN,Triathlon at the 2008 Summer Olympics - Men's Triathlon,2,Simon Whitfield
NED,Cycling at the 2008 Summer Olympics - Women's Points Race,1,Marianne Vos
CHI,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Arturo Friedemann
HUN,Cycling at the 1912 Summer Olympics - Men's individual time trial,,János Henzsel
AUT,Alpine skiing at the 2006 Winter Olympics - Women's Combined,2,Marlies Schild
URS,Athletics at the 1976 Summer Olympics - Women's 100 metres hurdles,2,Tatyana Anisimova
GER,Gymnastics at the 1896 Summer Olympics - Men's Horizontal Bar,1,Hermann Weingärtner
SUI,Figure skating at the 2006 Winter Olympics – Men's singles,2,Stéphane Lambiel
USA,Athletics at the 1960 Summer Olympics - Men's shot put,3,Dallas Long
CHN,Taekwondo at the 2008 Summer Olympics - Women's 49 kg,1,Wu Jingyu
SWE,Athletics at the 1948 Summer Olympics – Men's 10000 metres,3,Bertil Albertsson
RUS,Archery at the 2008 Summer Olympics - Men's individual,3,Bair Badënov
AUS,Shooting at the 2008 Summer Olympics - Men's 50 metre rifle; prone,3,Warren Potent
SWE,Equestrian at the 1948 Summer Olympics - Individual Eventing,3,Robert Selfelt
USA,Swimming at the 1960 Summer Olympics – Men's 200 metre breaststroke,1,William Mulliken
USA,Alpine Skiing at the 1984 Winter Olympics - Women's Giant Slalom,2,Christin Cooper
NOR,Nordic Combined at the 1984 Winter Olympics - Individual,1,Tom Sandberg
USA,Swimming at the 1932 Summer Olympics - Men's 400 metre freestyle,1,Buster Crabbe
FRA,Alpine skiing at the 2002 Winter Olympics – Women's downhill,1,Carole Montillet
NED,Swimming at the 1984 Summer Olympics - Women's 100 metre freestyle,3,Annemarie Verstappen
FIN,Rowing at the 1984 Summer Olympics - Men's Single Sculls,1,Pertti Karppinen
USA,Athletics at the 1908 Summer Olympics - Men's Greek discus,2,Marquis Horr
NOR,Speed Skating at the 1992 Winter Olympics - Men's 1500m,2,Ådne Søndrål
USA,Speed Skating at the 1992 Winter Olympics - Women's 500m,1,Bonnie Blair
VEN,Boxing at the 1968 Summer Olympics - Light Flyweight,1,Francisco Rodríguez
URS,Shooting at the 1952 Summer Olympics - Men's 300 metre rifle; three positions,3,Lev Vainshtein
USA,Speed Skating at the 1980 Winter Olympics - Women's 3000m,3,Beth Heiden
POL,Boxing at the 1952 Summer Olympics - Lightweight,2,Aleksy Antkiewicz
ETH,Athletics at the 2008 Summer Olympics - Women's 5000 metres,1,Tirunesh Dibaba
SLO,Shooting at the 2008 Summer Olympics - Men's 50 metre rifle three positions,3,Rajmond Debevec
SWE,Figure skating at the 1924 Winter Olympics - Men's singles,1,Gillis Grafström
USA,Gymnastics at the 1904 Summer Olympics - Men's Horizontal Bar,1,Edward Hennig
JPN,Swimming at the 1932 Summer Olympics - Men's 200 metre breaststroke,1,Yoshiyuki Tsuruta
HUN,Gymnastics at the 1932 Summer Olympics - Men's Floor Exercises,1,István Pelle
POL,Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Middleweight,2,Jan Do?gowicz
GER,Speed Skating at the 1998 Winter Olympics - Women's 1500m,2,Gunda Niemann-Stirnemann
GER,Athletics at the 1936 Summer Olympics – Men's hammer throw,1,Karl Hein
AUT,Shooting at the 1980 Summer Olympics - Men's 25 metre rapid fire pistol,3,Gerhard Petritsch
TCH,Wrestling at the 1980 Summer Olympics - Men's Freestyle Heavyweight,3,Julius Strnisko
ESP,Canoeing at the 2008 Summer Olympics - Men's C-1 1000 metres,2,David Cal
AUT,Skeleton at the 2002 Winter Olympics - Men's Skeleton,2,Martin Rettl
URS,Shooting at the 1980 Summer Olympics - Trap Shooting,2,Rustam Yambulatov
URS,Swimming at the 1980 Summer Olympics - Men's 200 metre butterfly,1,Sergey Fesenko; Sr.
GER,Biathlon at the 2002 Winter Olympics - Men's 20 km Individual,2,Frank Luck
GER,Luge at the 2002 Winter Olympics – Men's singles,2,Georg Hackl
URS,Wrestling at the 1980 Summer Olympics - Men's Greco-Roman 57 kg,1,Shamil Serikov
USA,Sailing at the 1992 Summer Olympics - Women's Europe,3,Julia Trotman
BUL,Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Super Heavyweight,2,Alexander Tomov
URS,Weightlifting at the 1956 Summer Olympics - Men's Middleweight 67.5-75 kg,1,Fyodor Bogdanovsky
SWE,Shooting at the 1912 Summer Olympics - Men's 100 metre running deer; double shots,3,Oscar Swahn
CHN,Gymnastics at the 1992 Summer Olympics – Men's parallel bars,3,Linyao Guo
CHN,Swimming at the 1992 Summer Olympics - Women's 50 metre freestyle,1,Wenyi Yang
FIN,Athletics at the 1972 Summer Olympics - Men's 10000 metres,1,Lasse Virén
USA,Boxing at the 1920 Summer Olympics - Men's lightweight,1,Samuel Mosberg
GBR,Athletics at the 1900 Summer Olympics - Men's 4000 metre steeplechase,3,Sidney Robinson
FIN,Athletics at the 1924 Summer Olympics – Men's 3000 metre steeplechase,2,Elias Katz
GBR,Judo at the 1992 Summer Olympics - Women's 52 kg,3,Sharon Rendle
POL,Shooting at the 1992 Summer Olympics - Women's 50 metre rifle; three positions,3,Malgorzata Ksiazkiewicz
ROU,Athletics at the 1972 Summer Olympics - Women's Discus Throw,2,Argentina Menis
FRA,Weightlifting at the 1920 Summer Olympics - Men's Heavyweight +82.5 kg,3,Louis Bernot
SUI,Alpine Skiing at the 1992 Winter Olympics - Men's Combined,3,Steve Locher
FIN,Athletics at the 1976 Summer Olympics - Men's Javelin Throw,2,Hannu Siitonen
POL,Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Heavyweight,3,Andrzej Skrzydlewski
POL,Modern Pentathlon at the 1976 Summer Olympics - Men's Individual,1,Janusz Pyciak-Peciak
HUN,Shooting at the 1952 Summer Olympics -Men's 25 metre rapid fire pistol,1,Károly Takács
GDR,Athletics at the 1976 Summer Olympics - Women's Discus Throw,1,Evelin Schlaak
URS,Boxing at the 1960 Summer Olympics - Flyweight,2,Sergei Sivko
USA,Alpine Skiing at the 1994 Winter Olympics - Women's Downhill,2,Picabo Street
ISL,Athletics at the 1956 Summer Olympics - Men's triple jump,2,Vilhjálmur Einarsson
SWE,Athletics at the 1920 Summer Olympics - Men's long jump,3,Erik Abrahamsson
USA,Shooting at the 1924 Summer Olympics - Men's 25 metre rapid fire pistol,1,Henry Bailey
YUG,Shooting at the 1996 Summer Olympics - Women's 50 metre rifle three positions,1,Aleksandra Ivosev
USA,Swimming at the 1904 Summer Olympics - Men's 220 yard freestyle,1,Charles Daniels
GER,Biathlon at the 1998 Winter Olympics - Women's 7.5km Sprint,2,Uschi Disl
AUT,Alpine Skiing at the 1960 Winter Olympics - Men's Giant Slalom,2,Josef Stiegler
URS,Speed Skating at the 1976 Winter Olympics - Men's 500m,1,Yevgeny Kulikov
JPN,Ski Jumping at the 1972 Winter Olympics - Men's Normal Hill,3,Selji Aochi
HUN,Athletics at the 1924 Summer Olympics – Men's pentathlon,2,Elemér Somfay
GBR,Swimming at the 1988 Summer Olympics - Men's 100 metre breaststroke,1,Adrian Moorhouse
TCH,Gymnastics at the 1924 Summer Olympics - Men's parallel bars,2,Robert Pražák
FIN,Sailing at the 1928 Summer Olympics - 12' Dinghy,3,Bertel Broman
NOR,Shooting at the 1924 Summer Olympics - Men's 100 metre running deer; double shots,1,Ole Lilloe-Olsen
URS,Speed Skating at the 1960 Winter Olympics - Women's 500m,2,Nataliya Donchenko
MEX,Athletics at the 1992 Summer Olympics - Men's 50 km walk,2,Carlos Mercenario
NOR,Sailing at the 1992 Summer Olympics - Women's Europe,1,Linda Andersen
USA,Alpine Skiing at the 1952 Winter Olympics - Women's Slalom,1,Andrea Mead-Lawrence
WGE,Shooting at the 1988 Summer Olympics - Women's 50 metre rifle; three positions,1,Silvia Sperber
FRA,Cycling at the 1996 Summer Olympics - Women's individual road race,1,Jeannie Longo
KOR,Judo at the 1988 Summer Olympics - Men's Extra Lightweight (-60kg),1,Kim Jae-Yup
FIN,Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Heavyweight,2,Hjalmar Nyström
USA,Athletics at the 1976 Summer Olympics – Men's 800 metres,3,Rick Wohlhuter
NOR,Cross-Country Skiing at the 1928 Winter Olympics - Men's 18 km,3,Reidar Ødegaard
GER,Alpine Skiing at the 1998 Winter Olympics - Women's Combined,3,Hilde Gerg
INA,Badminton at the 1996 Summer Olympics - Women's Singles,3,Susi Susanti
