Iocode,event,medal,medalist
CRO,Taekwondo at the 2008 Summer Olympics - Women's 57 kg,3,Martina Zub?i?
CAN,Short Track Speed Skating at the 2002 Winter Olympics - Men's 500m,1,Marc Gagnon
NOR,Cross-Country Skiing at the 1988 Winter Olympics - Men's 30km,3,Vegard Ulvang
SWE,Cross-Country Skiing at the 1980 Winter Olympics - Men's 15km,1,Thomas Wassberg
ITA,Fencing at the 1936 Summer Olympics - Men's Foil; Individual,3,Giorgio Bocchino
GDR,Athletics at the 1976 Summer Olympics - Men's 20 km Walk,3,Peter Frenkel
USA,Athletics at the 1896 Summer Olympics - Men's triple jump,1,James Connolly
EUA,Wrestling at the 1960 Summer Olympics - Men's Greco-Roman Heavyweight,2,Wilfried Dietrich
NOR,Speed Skating at the 1928 Winter Olympics - Men's 5000m,1,Ivar Ballangrud
CAN,Canoeing at the 1996 Summer Olympics - Women's K-1 500 metres,2,Caroline Brunet
NOR,Speed Skating at the 2002 Winter Olympics - Men's 10000m,3,Lasse Sætre
AUS,Athletics at the 1996 Summer Olympics - Women's 400 metres,2,Cathy Freeman
GER,Biathlon at the 2002 Winter Olympics - Women's 15 km individual,1,Andrea Henkel
FIN,Cross Country Skiing at the 1952 Winter Olympics - Women's 10 km,1,Lydia Wideman
USA,Swimming at the 1996 Summer Olympics - Men's 200 metre backstroke,2,Tripp Schwenk
NOR,Cross Country Skiing at the 2002 Winter Olympics -30 km freestyle mass start,3,Kristen Skjeldal
GER,Swimming at the 1996 Summer Olympics - Women's 50 metre freestyle,3,Sandra Völker
UTA,Boxing at the 1992 Summer Olympics - Featherweight,3,Ramazi Paliani
SWE,Modern Pentathlon at the 1984 Summer Olympics - Men's Individual,2,Svante Rasmuson
NOR,Biathlon at the 1968 Winter Olympics - Men's 20km Individual,1,Magnar Solberg
GER,Speed Skating at the 1994 Winter Olympics - Women's 1000m,2,Anke Baier
USA,Athletics at the 1908 Summer Olympics - Men's long jump,2,Daniel Kelly
NED,Speed Skating at the 1998 Winter Olympics - Men's 1500m,3,Rintje Ritsma
JPN,Speed Skating at the 1998 Winter Olympics - Men’s 1000m,3,Hiroyasu Shimizu
CZE,Athletics at the 1996 Summer Olympics - Women's triple jump,3,Šárka Kašpárková
GER,Alpine Skiing at the 1998 Winter Olympics - Women's Combined,2,Martina Ertl
ROU,Athletics at the 1988 Summer Olympics - Women's 3000 metres,2,Paula Ivan
CUB,Wrestling at the 1992 Summer Olympics - Men's Greco-Roman Featherweight,3,Juan Marén
USA,Diving at the 1952 Summer Olympics - Men's 3 metre springboard,3,Bob Clotworthy
AUT,Cross Country Skiing at the 1998 Winter Olympics - Men's 10km Pursuit,2,Markus Gandler
USA,Athletics at the 1952 Summer Olympics - Men's pole vault,1,Bob Richards
URS,Rowing at the 1952 Summer Olympics - Men's Single Sculls,1,Yuri Tyukalov
UKR,Athletics at the 2008 Summer Olympics - Women's 1500 metres,2,Iryna Lishchynska
USA,Athletics at the 1932 Summer Olympics - Men's decathlon,1,James Bausch
GBR,Figure Skating at the 1976 Winter Olympics - Men's Singles,1,John Curry
FIN,Ski Jumping at the 1964 Winter Olympics - Large Hill,2,Veikko Kankkonen
GRE,Volleyball at the 2008 Summer Olympics - Women's beach volleyball,,Maria Tsiartsiani;Efthalia Koutroumanidou
CZE,Volleyball at the 1996 Summer Olympics - Men's beach volleyball,,Michal Palinek;Marek Pakosta
JPN,Volleyball at the 1992 Summer Olympics - Men's volleyball,,Masaji Ogino
NOR,Volleyball at the 2004 Summer Olympics - Women's Beach Volleyball,,Kathrine Maaseide;Susanne Glesnes
,Taekwondo at the 2008 Summer Olympics - Men's 58 kg,,Nguyen Van Hung
SUI,Volleyball at the 2000 Summer Olympics - Men's beach volleyball,,Paul Laciga;Martin Laciga
,50 metre pistol,1,Grigory Kosykh
SWE,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Alex Ekström
FIN,Wrestling at the 1924 Summer Olympics - Men's Greco-Roman Bantamweight,3,Väinö Ikonen
GRE,Tennis at the 1896 Summer Olympics - Men's doubles,2,Demetrios Petrokokkinos;Dionysios Kasdaglis
FRA,Cycling at the 2008 Summer Olympics - Men's cross-country,1,Julien Absalon
AUT,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Josef Hellensteiner
USA,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Albert Krushel
ARG,Tennis at the 2012 Summer Olympics - Men's Singles,3,Juan Martin Del Potro
AUS,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,1,Natalie Cook;Kerri Pottharst
MGL,Boxing at the 2012 Summer Olympics – Men's light welterweight,3,Munkh Erdene Uranchimeg
RUS,Weightlifting at the 2012 Summer Olympics – Men's 94 kg,2,Alexandr Ivanov
BRA,Judo at the 2012 Summer Olympics – Women's 48 kg,1,Sarah Menezes
UKR,Fencing at the 2012 Summer Olympics - Women's sabre,3,Olga Kharlan
GRN,Athletics at the 2012 Summer Olympics – Men's 400 metres,1,Kirani James
GER,Table Tennis at the 2012 Summer Olympics- Men's Team,3,Dimitrij Ovtcharov;Bastian Steger;Timo Boll
CUB,Judo at the 2012 Summer Olympics – Women's 52 kg,2,Yanet Bermoy
CUB,Wrestling at the 2012 Summer Olympics – Men's freestyle 66 kg,3,Liván López
RUS,Weightlifting at the 2012 Summer Olympics – Men's +105 kg,3,Ruslan Albegov
NED,Rowing at the 2012 Summer Olympics – Women's eight,3,Sytske de Groot;Anne Schellekens;Jacobine Veenhoven;Carline Bouw;Roline Repelaer van Driel;Chantal Achterberg;Annemiek de Haan;Nienke Kingma;Claudia Belderbos
AUS,Basketball at the 2012 Summer Olympics- Women,3,Kristi Harrower;Liz Cambage;Samantha Richards;Rachel Jarry;Jenna O'Hea;Jennifer Screen;Laura Summerton;Suzy Batkovic;Lauren Jackson;Abby Bishop;Kathleen Macleod
CHN,Volleyball at the 2000 Summer Olympics - Women's volleyball,,Zhu Yunying;Li Shan;Qi He;Chen Jing;Wu Dan;Li Yan;Qiu Aihua;Wang Lina;Gui Chaoran;Wu Yongmei;Yin Yin;Sun Yue
AUT,Cycling at the 1896 Summer Olympics - Men's 10 kilometres,3,Adolf Schmal
,Gymnastics at the 2008 Summer Olympics - Men's Horizontal Bar,,Takuya Nakase
USA,Volleyball at the 2008 Summer Olympics - Women's beach volleyball,,Nicole Branagh;Elaine Youngs
CZE,Cross-Country Skiing at the 2006 Winter Olympics - Men's 15 Km,2,Lukáš Bauer
USA,Volleyball at the 1992 Summer Olympics - Women's volleyball,3,Caren Kemner;Paula Weishoff;Tara Cross-Battle;Yoko Zetterlund;Kim Oden;Janet Cobbs;Ruth Lawanson;Lori Endicott;Elaina Oden;Tammy Liley;Teee Sanders;Liane Sato
SUI,Volleyball at the 2004 Summer Olympics - Men's Beach Volleyball,,Martin Laciga;Paul Laciga
USA,Curling at the 2006 Winter Olympics - Men's Tournament,3,Joe Polo;Pete Fenson;Scott Baird;John Shuster;Shawn Rojeski
,Weightlifting at the 2008 Summer Olympics - Men's Bantamweight -56 kg,,Yang Chin-Yi
,Football at the 2008 Summer Olympics - Women's tournament,,Sara Larsson
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Elena Guerra
USA,Swimming at the 2000 Summer Olympics - Women's 100 metre freestyle,3,Jenny Thompson
GER,Biathlon at the 2002 Winter Olympics - Women's 10 km pursuit,2,Kati Wilhelm
SUI,Skeleton at the 2006 Winter Olympics – Men's Skeleton,3,Gregor Stähli
NED,Volleyball at the 2008 Summer Olympics - Men's beach volleyball,,Richard Schuil;Reinder Nummerdor
RUS,Biathlon at the 2002 Winter Olympics - Women's 4 x 7.5 km Relay,3,Olga Pyleva;Galina Kukleva;Albina Akhatova;Svetlana Ishmouratova
AUT,Ski jumping at the 2010 Winter Olympics – Large hill individual,3,Gregor Schlierenzauer
USA,Athletics at the 1908 Summer Olympics - Men's standing long jump,1,Ray Ewry
PRK,Wrestling at the 1996 Summer Olympics - Men's freestyle Light Flyweight,1,Il Kim
URS,Weightlifting at the 1968 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,1,Boris Selitsky
BLR,Athletics at the 1996 Summer Olympics - Women's heptathlon,2,Natallia Sazanovich
IRI,Taekwondo at the 2012 Summer Olympics – Men's 68 kg,2,Mohammad Bagheri
AUS,Rowing at the 2012 Summer Olympics – Men's quadruple sculls,3,Daniel Noonan;Karsten Forsterling;Chris Morgan;James McRae
USA,Athletics at the 2012 Summer Olympics – Men's 4 x 400 metres relay,2,Angelo Taylor
ARM,Weightlifting at the 2012 Summer Olympics – Women's +75 kg,3,Hripsime Khurshudyan
NED,Field hockey at the 2012 Summer Olympics – Women's tournament,1,Merel de Blaeij;Maartje Paumen;Kim Lammers;Carlien Dirkse van den Heuvel;Kitty van Male;Ellen Hoog;Eva de Goede;Kelly Jonker;Lidewij Welten;Margot van Geffen;Joyce Sombroek;Maartje Goderie;Caia van Maasakker;Marilyn Agliotti;Naomi van As;Sophie Polkamp
CHN,Archery at the 2012 Summer Olympics – Men's individual,3,Dai Xiaoxiang
GBR,Boxing at the 2012 Summer Olympics – Men's welterweight,2,Fred Evans
CHN,Weightlifting at the 2012 Summer Olympics – Men's 77 kg,2,Lu Haojie
RUS,Cycling at the 1912 Summer Olympics - Men's individual time trial,,J?kabs Bukse
USA,Athletics at the 1924 Summer Olympics – Men's 4x400 metre relay,1,Commodore Cochran
GER,Cycling at the 2004 Summer Olympics - Women's individual road race,2,Judith Arndt
SWE,Ice hockey at the 2006 Winter Olympics – Women’s Team,2,Katarina Timglas
URS,Shooting at the 1972 Summer Olympics - Men's 300 metre rifle; three positions,2,Boris Melnik
NOR,Biathlon at the 2002 Winter Olympics - Men's 12.5 km Pursuit,1,Ole Einar Bjørndalen
SRI,Athletics at the 2000 Summer Olympics – Women's 200 metres,2,Susanthika Jayasinghe
USA,Shooting at the 2004 Summer Olympics - Women's Double Trap,1,Kim Rhode
ESP,Athletics at the 2004 Summer Olympics - Men's Long Jump,3,Joan Lino Martínez
UZB,Wrestling at the 2004 Summer Olympics - Men's Freestyle Heavyweight,2,Magomed Ibragimov
LAT,Weightlifting at the 2004 Summer Olympics - Men's Super Heavyweight +105 kg,2,Viktors Š?erbatihs
MAR,Athletics at the 2004 Summer Olympics - Men's 5;000 metres,1,Hicham El Guerrouj
POL,Boxing at the 1988 Summer Olympics - Super Heavyweight,3,Janusz Zarenkiewicz
USA,Swimming at the 2000 Summer Olympics - Women's 50 metre freestyle,3,Dara Torres
RUS,Shooting at the 2000 Summer Olympics - Men's 10 metre air rifle,2,Artem Khadjibekov
GBR,Sailing at the 2000 Summer Olympics - Finn Class,1,Iain Percy
URS,Athletics at the 1964 Summer Olympics - Men's 110 metre hurdles,3,Anatoly Mikhailov
BUL,Gymnastics at the 2000 Summer Olympics – Men's rings,3,Jordan Jovtchev
USA,Synchronized swimming at the 1984 Summer Olympics – Women's solo,1,Tracie Ruiz
USA,Shooting at the 1984 Summer Olympics - Skeet,1,Matthew Dryke
URS,Athletics at the 1988 Summer Olympics - Women's Long Jump,3,Galina Chistyakova
URS,Wrestling at the 1964 summer Olympics - Men's Greco-Roman Bantamweight,2,Vladlen Trostyansky
DEN,Cycling at the 1988 Summer Olympics - Men's points race,1,Dan Frost
NZL,Equestrian at the 1988 Summer Olympics - Individual Eventing,1,Mark Todd
CAN,Swimming at the 2000 Summer Olympics - Men's 400 metre individual medley,3,Curtis Myden
ROU,Athletics at the 1984 Summer Olympics - Women's Long Jump,2,Vali Ionescu
AUS,Shooting at the 2000 Summer Olympics - Women's 10 metre air pistol,3,Annemarie Forder
CHN,Shooting at the 2000 Summer Olympics - Women's Trap,3,Gao E
FRA,Gymnastics at the 2000 Summer Olympics – Men's pommel horse,2,Eric Poujade
ALG,Boxing at the 2000 Summer Olympics - Light Welterweight,3,Mohamed Allalou
GEO,Wrestling at the 2000 Summer Olympics - Men's Freestyle Heavyweight,3,Eldar Kurtanidze
MEX,Athletics at the 2000 Summer Olympics - Men's 50 km walk,3,Joel Sánchez
CUB,Boxing at the 2004 Summer Olympics - Super Heavyweight,3,Michel Lopez Nuñez
CUB,Athletics at the 2004 Summer Olympics - Women's shot put,1,Yumileidi Cumbá
KOR,Taekwondo at the 2004 Summer Olympics - Women's 57 kg,1,Ji Won Jang
KOR,Gymnastics at the 2004 Summer Olympics - Men's artistic individual all-around,3,Yang Tae Young
ITA,Athletics at the 2004 Summer Olympics - Men's marathon,1,Stefano Baldini
MAS,Badminton at the 2012 Summer Olympics – Men's singles,2,Lee Chong Wei
GER,Judo at the 2012 Summer Olympics – Women's 70 kg,2,Kerstin Thiele
MEX,Diving at the 2012 Summer Olympics – Women's 3 metre springboard,3,Laura Sánchez
RUS,Athletics at the 2012 Summer Olympics - Women's 20 km Walk,1,Elena Lashmanova
AUS,Field hockey at the 2012 Summer Olympics – Men's tournament,3,Fergus Kavanagh;Glenn Turner;Matthew Swann;Joel Carroll;Jamie Dwyer;Nathan Burgers;Kieran Govers;Russell Ford;Matthew Gohdes;Chris Ciriello;Tim Deavin;Eddie Ockenden;Matthew Butturini;Mark Knowles;Liam De Young;Simon Orchard
USA,Judo at the 2012 Summer Olympics – Women's 78 kg,1,Kayla Harrison
IND,Shooting at the 2012 Summer Olympics - Men's 25 metre rapid fire pistol,2,Vijay Kumar
HUN,Canoeing at the 2012 Summer Olympics – Women's K-2 500 metres,2,Natasa Janics;Katalin Kovács
CHN,Shooting at the 2012 Summer Olympics - Women's 25 metre pistol,2,Chen Ying
BRA,Swimming at the 2012 Summer Olympics – Men's 50 metre freestyle,3,Cesar Cielo Filho
USA,Athletics at the 2012 Summer Olympics – Women's 400 metres,1,Sanya Richards
KAZ,Athletics at the 2012 Summer Olympics – Women's triple jump,1,Olga Rypakova
CHN,Swimming at the 2012 Summer Olympics – Women's 200 metre individual medley,1,Ye Shiwen
FRA,Taekwondo at the 2012 Summer Olympics – Women's +67 kg,2,Anne Caroline Graffe
JAM,Athletics at the 2012 Summer Olympics – Women's 200 metres,2,Shelly-Ann Fraser
ETH,Athletics at the 2012 Summer Olympics – Women's 10;000 metres,1,Tirunesh Dibaba
RUS,Synchronized swimming at the 2012 Summer Olympics – Women's duet,1,Natalia Ishchenko;Svetlana Romashina
RUS,Athletics at the 2012 Summer Olympics – Women's hammer throw,1,Tatyana Lysenko
NOR,Alpine skiing at the 2010 Winter Olympics – Men's Super-G,1,Aksel Lund Svindal
GER,Cross-country skiing at the 2010 Winter Olympics – Women's team sprint,1,Claudia Künzel;Evi Sachenbacher-Stehle
POL,Cross-country skiing at the 2010 Winter Olympics – Women's 30 kilometre classical,1,Justyna Kowalczyk
USA,Nordic combined at the 2010 Winter Olympics – Individual large hill/10 km,2,Johnny Spillane
CHN,Fencing at the 1984 Summer Olympics - Women's Foil; Individual,1,Luan Jujie
USA,Swimming at the 1984 Summer Olympics - Men's 200 metre freestyle,2,Michael Heath
URS,Wrestling at the 1988 Summer Olympics - Men's Freestyle Featherweight,2,Stepan Sarkisyan
URS,Cycling at the 1988 Summer Olympics - Men's Sprint,2,Nikolay Kovsh
USA,Wrestling at the 1968 Summer Olympics - Men's freestyle flyweight,2,Richard Sanders; Olympic Wrestler
AUT,Nordic combined at the 2006 Winter Olympics – Team,1,Christoph Bieler
BLR,Shooting at the 2004 Summer Olympics - Men's 50 metre rifle; prone,3,Sergei Martynov
USA,Snowboarding at the 2006 Winter Olympics - Men's Halfpipe,2,Danny Kass
TUR,Weightlifting at the 1988 Summer Olympics - Men's Featherweight 56-60 kg,1,Naim Süleymano?lu
CHN,Gymnastics at the 2004 Summer Olympics - Men's pommel horse,1,Teng Haibin
USA,Swimming at the 1964 Summer Olympics – Women's 100 metre backstroke,3,Virginia Ruth Duenkel
WGE,Weightlifting at the 1972 Summer Olympics - Men's Super Heavyweight +110 kg,2,Rudolf Mang
JPN,Wrestling at the 1984 Summer Olympics - Men's freestyle Middleweight,2,Hideyuki Nagashima
ITA,Shooting at the 1996 Summer Olympics - Men's skeet,1,Ennio Falco
USA,Wrestling at the 2004 Summer Olympics - Men's Freestyle Bantamweight,2,Stephen Abas
USA,Athletics at the 2000 Summer Olympics - Men's 400 metre hurdles,1,Angelo Taylor
USA,Ice hockey at the 2006 Winter Olympics – Women’s Team,3,Molly Engstrom
RSA,Swimming at the 2004 Summer Olympics - Men's 50 metre freestyle,3,Roland Mark Schoeman
URS,Shooting at the 1964 summer Olympics - Trap,2,Pavel Senitsev
USA,Boxing at the 1972 Summer Olympics - Bantamweight,3,Ricardo Carreras
FRA,Canoeing at the 2004 Summer Olympics - Men's slalom K-1,3,Fabien Lefèvre
NED,Archery at the 2000 Summer Olympics - Men's individual,3,Wietse van Alten
CAN,Wrestling at the 1984 Summer Olympics - Men's freestyle Super Heavyweight,2,Robert Molle
ROU,Athletics at the 1984 Summer Olympics - Women's 400 metres hurdles,3,Cristeana Cojocaru
WGE,Equestrian at the 1972 Summer Olympics - Dressage; Individual,3,Josef Neckermann
NOR,Ski jumping at the 2006 Winter Olympics - Team Competition,3,Tommy Ingebrigtsen;Bjørn Einar Romøren;Roar Ljøkelsøy;Lars Bystøl
WGE,Swimming at the 1984 Summer Olympics - Women's 200 metre butterfly,3,Ina Beyermann
KOR,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Featherweight,1,Ji-Hyun Jung
RUS,Boxing at the 2004 Summer Olympics - Lightweight,3,Murat Khrachev
URS,Shooting at the 1988 Summer Olympics - Women's 10 metre air pistol,3,Marina Dobrancheva
GER,Ski jumping at the 2002 Winter Olympics - Team Competition,1,Sven Hannawald;Stephan Hocke;Michael Uhrmann;Martin Schmitt
CAN,Cycling at the 1984 Summer Olympics - Men's individual road race,2,Steve Bauer
URS,Sailing at the 1972 Summer Olympics - Finn Class,3,Viktor Potapov
EUA,Judo at the 1964 Summer Olympics - Open Category,3,Klaus Glahn
CHN,Badminton at the 2004 Summer Olympics - Women's singles,3,Zhou Mi
USA,Swimming at the 2000 Summer Olympics - Men's 400 metre individual medley,2,Erik Vendt
URS,Weightlifting at the 1968 Summer Olympics - Men's Middleweight 67.5-75 kg,1,Viktor Kurentsov
CUB,Athletics at the 1996 Summer Olympics - Women's 800 metres,2,Ana Fidelia Quirot
USA,Swimming at the 1968 Summer Olympics – Men's 100 metre freestyle,3,Mark Spitz
FRA,Cycling at the 2000 Summer Olympics - Women's Sprint,1,Félicia Ballanger
GDR,Swimming at the 1988 Summer Olympics - Women's 100 metre breaststroke,3,Silke Hörner
WGE,Canoeing at the 1972 Summer Olympics - Women's slalom K-1,2,Gisela Grothaus
USA,Swimming at the 1984 Summer Olympics - Women's 800 metre freestyle,2,Michele Richardson
AUS,Volleyball at the 2000 Summer Olympics - Men's beach volleyball,,Julien Prosser;Lee Zahner
GRE,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,,Vasso Karadassiou;Effrosyni Sfyri
PER,Volleyball at the 1996 Summer Olympics - Women's volleyball,,Marjorie Vilchez;Luren Baylon;Milagros Camere;Sara Joya;Yolanda Delgado;Sandra Rodríguez;Milagros Moy;Paola Ramos;Leyla Chihuán;Milagros Contreras;Iris Falcón;Yulissa Zamudio
AUT,Alpine skiing at the 2006 Winter Olympics - Men's Giant Slalom,3,Hermann Maier
CUB,Volleyball at the 1992 Summer Olympics - Men's volleyball,,
BLR,Weightlifting at the 2008 Summer Olympics - Men's Light Heavyweight 77-85 kg,2,Andrei Rybakou
RUS,Volleyball at the 2008 Summer Olympics - Men's volleyball,3,Aleksey Ostapenko;Alexey Verbov;Aleksandr Volkov;Maxim Mikhaylov;Aleksandr Kosarev;Semen Poltavskiy;Aleksey Kuleshov;Sergey Grankin;Sergey Tetyukhin;Vadim Khamuttskikh;Aleksandr Korneev;Yury Berezhko
CAN,Wrestling at the 2008 Summer Olympics - Women's Freestyle Lightweight,3,Tonya Verbeek
CAN,Taekwondo at the 2008 Summer Olympics - Women's 67 kg,2,Karine Sergerie
CAN,Rowing at the 2008 Summer Olympics - Men's coxless pair,2,Scott Frandsen;David Calder
GBR,Cycling at the 2008 Summer Olympics - Women's individual pursuit,1,Rebecca Romero
,Athletics at the 2004 Summer Olympics - Women's 1;500 metres,,Sarah Jamieson
ITA,Shooting at the 2008 Summer Olympics - Men's Double Trap,2,Francesco D'Aniello
AUT,Cycling at the 1896 Summer Olympics - Men's 12 hour race,1,Adolf Schmal
MGL,Shooting at the 2008 Summer Olympics - Women's 25 metre pistol,2,Otryadyn Gündegmaa
JPN,Judo at the 2008 Summer Olympics - Women's +78 kg,2,Maki Tsukada
CAN,Gymnastics at the 2000 Summer Olympics – Women's trampoline,3,Karen Cockburn
GER,Weightlifting at the 2008 Summer Olympics - Men's Super Heavyweight +105 kg,1,Matthias Steiner
AUT,Swimming at the 2008 Summer Olympics - Women's 100 metre breaststroke,3,Mirna Juki?
USA,Swimming at the 2008 Summer Olympics - Women's 200 metre Individual Medley,3,Natalie Coughlin
USA,Wrestling at the 1988 Summer Olympics - Men's Freestyle Welterweight,1,Kenny Monday
USA,Athletics at the 1904 Summer Olympics - Men's marathon,1,Thomas J. Hicks
ITA,Boxing at the 2008 Summer Olympics - Flyweight,3,Vincenzo Picardi
JPN,Judo at the 1996 Summer Olympics - Women's Half Heavyweight (72kg),2,Yoko Tanabe
NED,Volleyball at the 1996 Summer Olympics - Women's volleyball,,Marrit Leenstra;Ingrid Visser;Irena Machovcak;Henriëtte Weersing;Cintha Boersma;Saskia van Hintum;Elles Leferink;Riëtte Fledderus;Erna Brinkman;Jerine Fleurke;Claudia van Thiel;Marjolein de Jong
ITA,Volleyball at the 2000 Summer Olympics - Women's volleyball,,Eleonora Lo Bianco;Maurizia Cacciatori;Elisa Togut;Ana Paula de Tassis;Anna Vania Mello;Francesca Piccinini;Paola Paggi;Antonella Bragaglia;Darina Mifkova;Sabrina Bertini;Manuela Leggeri;Simona Rinieri
KOR,Volleyball at the 2000 Summer Olympics - Men's volleyball,,Bang Sin-Bong;Lee Ho;Chang Byung-Chul;Choi Tae-Woong;Lee Kyung-Soo;Park Hee-Sang;Shin Sun-Ho;Lee Byung-Yong;Kim Se-Jin;Shin Jin-Sik;Bang Ji-Sub;Who In-Jung
AUT,Alpine Skiing at the 2002 Winter Olympics - Men's Slalom,3,Benjamin Raich
GER,Biathlon at the 2002 Winter Olympics - Women's 4 x 7.5 km Relay,1,Katrin Apel;Uschi Disl;Andrea Henkel;Kati Wilhelm
NOR,Biathlon at the 2006 Winter Olympics - Men's 20km Individual,3,Halvard Hanevold
NED,Speed Skating at the 2006 Winter Olympics - Men's 10000m,3,Carl Verheijen
GER,Cross-country skiing at the 2006 Winter Olympics - 4 x 10 Km relay,2,Tobias Angerer
NED,Speed Skating at the 2006 Winter Olympics - Women's 1500m,3,Ireen Wüst
GER,Cross-country skiing at the 2002 Winter Olympics - 4 x 10 Km relay,3,Jens Filbrich
CUB,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,,Dalixia Fernández;Tamara Larrea
EST,Cross-Country Skiing at the 2006 Winter Olympics - Men's 15 Km,1,Andrus Veerpalu
AUT,Alpine skiing at the 2002 Winter Olympics – Men's combined,3,Benjamin Raich
ALG,Volleyball at the 1992 Summer Olympics - Men's volleyball,,
GER,Volleyball at the 2008 Summer Olympics - Women's beach volleyball,,Laura Ludwig;Sara Goller
RUS,Athletics at the 2012 Summer Olympics – Women's heptathlon,3,Tatyana Chernova
KEN,Athletics at the 2012 Summer Olympics – Men's marathon,2,Abel Kirui
POL,Sailing at the 2012 Summer Olympics – Men's sailboard,3,Przemyslaw Miarczynski
RUS,Diving at the 2012 Summer Olympics – Men's 3 metre springboard,1,Ilya Zakharov
FIN,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,,Noora Laukkanen
GER,Rowing at the 2012 Summer Olympics – Men's eight,1,Lukas Mueller;Florian Mennigen;Andreas Kuffner;Filip Adamski;Maximilian Reinelt;Richard Schmidt;Martin Sauer;Kristof Wilke;Eric Johannesen
JPN,Swimming at the 2012 Summer Olympics – Women's 4 x 100 metre medley relay,3,Satomi Suzuki;Aya Terakawa;Haruka Ueda;Yuka Kato
RUS,Boxing at the 2012 Summer Olympics – Men's light heavyweight,1,Egor Mekhontsev
AUS,Swimming at the 2012 Summer Olympics – Women's 100 metre backstroke,2,Emily Seebohm
USA,Basketball at the 2004 Summer Olympics - Women's basketball,1,Diana Taurasi;Katie Smith;Sheryl Swoopes;Yolanda Griffith;Shannon Johnson;Sue Bird;Dawn Staley;Ruth Riley;Swin Cash;Tamika Catchings;Tina Thompson;Lisa Leslie
AUT,Snowboarding at the 2010 Winter Olympics – Women's parallel giant slalom,3,Marion Kreiner
NOR,Freestyle skiing at the 2010 Winter Olympics – Women's ski cross,2,Hedda Berntsen
GER,Cross-country skiing at the 2010 Winter Olympics – Women's 4 x 5 kilometre relay,2,Miriam Gössner;Katrin Zeller;Evi Sachenbacher-Stehle;Claudia Künzel
AUS,Snowboarding at the 2010 Winter Olympics – Women's halfpipe,1,Torah Bright
GER,Boxing at the 1952 Summer Olympics - Flyweight,2,Edgar Basel
DEN,Cycling at the 2000 Summer Olympics - Men's cross-country,,Jesper Agergaard
GDR,Diving at the 1980 Summer Olympics - Men's 10 metre platform,1,Falk Hoffmann
RUS,Weightlifting at the 2008 Summer Olympics - Men's Super Heavyweight +105 kg,2,Evgeny Chigishev
CHN,Diving at the 2008 Summer Olympics - Men's 3 metre springboard,3,Qin Kai
LUX,Alpine Skiing at the 1992 Winter Olympics - Men's Super-G,2,Marc Girardelli
USA,Athletics at the 1920 Summer Olympics - Men's 56 pound weight throw,2,Patrick Ryan
ECU,Athletics at the 1996 Summer Olympics - Men's 20 km walk,1,Jefferson Pérez
NOR,Nordic Combined at the 1924 Winter Olympics - Individual,3,Johan Grøttumsbråten
USA,Athletics at the 1900 Summer Olympics - Men's 100 metres,1,Frank Jarvis
URS,Cross-Country Skiing at the 1980 Winter Olympics - Men's 50km,1,Nikolay Zimyatov
SWE,Table Tennis at the 1992 Summer Olympics - Men's Singles,1,Jan-Ove Waldner
NED,Cycling at the 1992 Summer Olympics - Women's individual road race,3,Monique Knol
BUL,Athletics at the 1992 Summer Olympics - Women's Discus Throw,2,Tsvetanka Khristova
JPN,Athletics at the 1992 Summer Olympics - Women's Marathon,2,Yuko Arimori
SWE,Figure Skating at the 1908 Summer Olympics - Men's Singles,2,Richard Johansson
POL,Athletics at the 1960 Summer Olympics - Women's long jump,2,El?bieta Krzesi?ska
SUI,Gymnastics at the 1948 Summer Olympics - Men's Rings,2,Michael Reusch
CHN,Badminton at the 1992 Summer Olympics - Women's Singles,3,Huang Hua
SWE,Speed Skating at the 1988 Winter Olympics - Men's 5000m,1,Tomas Gustafson
GDR,Speed Skating at the 1984 Winter Olympics - Women's 3000m,1,Andrea Ehrig-Mitscherlich
USA,Cycling at the 1996 Summer Olympics - Women's cross-country,3,Susan DeMattei
CAN,Boxing at the 1920 Summer Olympics - Men's lightweight,3,Chris Newton
NED,Cycling at the 1920 Summer Olympics - Men's sprint,1,Maurice Peeters
NOR,Cycling at the 2000 Summer Olympics - Men's cross-country,,Rune Høydahl
USA,Equestrian at the 1972 Summer Olympics - Jumping; Individual,3,Neal Shapiro
NOR,Figure skating at the 1920 Summer Olympics - Men's singles,2,Andreas Krogh
GBR,Wrestling  at the 1936 Summer Olympics - Men's Freestyle Lightweight,1,Karoly Karpati
FRA,Alpine Skiing at the 1948 Winter Olympics - Men's downhill,1,Henri Oreiller
URS,Athletics at the 1952 Summer Olympics - Women's Javelin Throw,2,Aleksandra Chudina
FRA,Archery at the 1908 Summer Olympics - Men's Continental style,3,Gustave Cabaret
AUS,Athletics at the 1956 Summer Olympics - Men's high jump,2,Charles Porter
