teamID,iocCode,name,rank,team,eventID,gameID,disciplineID
77,USA,Swimming at the 2008 Summer Olympics - Men's 4 x 200 metre freestyle relay,1,Ryan Lochte;Michael Phelps;Peter Vanderkaay;Erik Vendt;David Walters;Klete Keller;Ricky Berens,13,46,144
78,RUS,Diving at the 2004 Summer Olympics - Women's 3 metre springboard,3,Ioulia Pakhalina,84,44,699
79,URS,Speed Skating at the 1984 Winter Olympics - Men's 1000m,2,Sergey Khlebnikov,163,34,292
80,URS,Speed Skating at the 1984 Winter Olympics - Men's 1000m,2,Sergey Khlebnikov,164,34,606
81,GDR,Boxing at the 1968 Summer Olympics - Welterweight,1,Manfred Wolke,220,26,548
82,CAN,Speed skating at the 1998 Winter Olympics - Women's 500m,1,Catriona LeMay Doan,288,41,69
83,GDR,Athletics at the 1988 Summer Olympics - Women's heptathlon,3,Anke Behmer,41,36,248
84,UKR,Athletics at the 2004 Summer Olympics - Women's 400 metres Hurdles,3,Tetiana Tereschuk-Antipova,239,44,693
85,GDR,Swimming at the 1980 Summer Olympics - Women's 200 metre freestyle,1,Barbara Krause,29,32,309
86,VEN,Athletics at the 1952 Summer Olympics - Men's triple jump,3,Arnoldo Devonish,32,18,641
87,ARG,Boxing at the 1968 Summer Olympics - Welterweight,3,Mario Guilloti,220,26,548
88,POL,Boxing at the 1976 Summer Olympics - Featherweight,3,Leszek Kosedowski,61,30,387
89,URS,Cross Country Skiing at the 1976 Winter Olympics - Women's 5km,2,Raisa Smetanina,108,29,375
90,SWE,Wrestling at the 1952 Summer Olympics - Men's Greco-Roman Light Heavyweight,3,Karl-Erik Nilsson,59,18,355
91,JPN,Swimming at the 1932 Summer Olympics - Women's 200 metre breaststroke,2,Hideko Maehata,33,13,95
92,FRA,Sailing at the 2008 Summer Olympics - Men's sailboard,2,Julien Bontemps,231,46,303
93,PRK,Judo at the 2008 Summer Olympics – Women's 52 kg,2,An Kum-Ae,302,46,283
94,SWE,Swimming at the 1912 Summer Olympics - Men's 400 metre breaststroke,2,Thor Henning,22,6,492
95,URS,Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight,1,Magomedgasan Abushev,12,32,369
96,TCH,Athletics at the 1956 Summer Olympics - Women's Discus Throw,1,Olga Fikotová,82,20,196
97,RUS,Freestyle Skiing at the 2006 Winter Olympics – Men's Aerials,3,Vladimir Lebedev,207,45,448
98,CZE,Shooting at the 1992 Summer Olympics - Trap,1,Petr Hrdlicka,234,37,22
99,DEN,Swimming at the 2008 Summer Olympics - Women's 800 metre freestyle,3,Lotte Friis,255,46,656
100,CUB,Boxing at the 1972 Summer Olympics - Heavyweight,1,Teófilo Stevenson,65,27,113
101,USA,Athletics at the 1912 Summer Olympics - Men's 110 metre hurdles,1,Frederick Kelly,213,6,38
102,RSA,Boxing at the 1952 Summer Olympics - Light Middleweight,2,Theunis van Schalkwyk,313,18,131
103,GER,Athletics at the 1992 Summer Olympics - Women's heptathlon,3,Sabine Braun,192,37,248
104,KEN,Athletics at the 1968 Summer Olympics - Men's 5000 metres,3,Naftali Temu,311,26,505
105,UTA,Gymnastics at the 1992 Summer Olympics – Men's artistic individual all-around,1,Vitaly Scherbo,166,37,584
106,ITA,Judo at the 1980 Summer Olympics - Men's Lightweight (71kg),1,Ezio Gamba,222,32,625
107,USA,Athletics at the 1956 Summer Olympics - Men's 200 metres,1,Bobby Joe Morrow,85,20,157
108,URS,Wrestling at the 1976 Summer Olympics - Men's freestyle Flyweight,2,Aleksandr Ivanov,121,30,374
109,GER,Ski jumping at the 2002 Winter Olympics - Normal Hill,2,Sven Hannawald,94,43,566
110,USA,Swimming at the 1924 Summer Olympics - Women's 100 metre freestyle,2,Mariechen Wehselau,324,8,51
111,SUI,Gymnastics at the 1924 Summer Olympics - Men's parallel bars,1,August Güttinger,43,8,666
112,ITA,Alpine Skiing at the 1994 Winter Olympics - Women's Giant Slalom,1,Deborah Compagnoni,70,39,396
113,HUN,Shooting at the 1924 Summer Olympics - Trap,1,Gyula Halasy,203,8,22
114,HUN,Gymnastics at the 1976 Summer Olympics – Women's Uneven Bars,3,Marta Egervary,54,30,257
115,JPN,Weightlifting at the 1976 Summer Olympics - Men's Featherweight 56-60 kg,3,Kazumasa Hirai,314,30,575
116,ALG,Judo at the 2008 Summer Olympics – Women's 52 kg,3,Soraya Haddad,302,46,283
117,NOR,Speed skating at the 1948 Winter Olympics - Men's 500m,2,Thomas Byberg,193,17,219
118,NOR,Speed skating at the 1948 Winter Olympics - Men's 500m,2,Thomas Byberg,194,17,769
119,GDR,Figure Skating at the 1988 Winter Olympics -Women's Singles,1,Katarina Witt,113,35,61
120,GDR,Figure Skating at the 1988 Winter Olympics -Women's Singles,1,Katarina Witt,114,35,191
121,NOR,Snowboarding at the 1998 Winter Olympics - Men's Halfpipe,2,Daniel Franck,296,41,743
122,RUS,Cross Country Skiing at the 1998 Winter Olympics - Women's 30km Freestyle,3,Larisa Lazutina,74,41,537
123,JPN,Gymnastics at the 1976 Summer Olympics – Men's parallel bars,3,Mitsuo Tsukahara,100,30,666
124,ITA,Cross Country Skiing at the 1998 Winter Olympics - Women's 30km Freestyle,2,Stefania Belmondo,74,41,537
125,FRA,Alpine Skiing at the 1964 Winter Olympics - Women's Slalom,2,Marielle Goitschel,309,24,733
126,GBR,Cycling at the 2008 Summer Olympics - Men's individual pursuit,3,Steven Burke,25,46,190
127,GER,Weightlifting at the 1932 Summer Olympics - Men's Featherweight 60 kg,2,Hans Wölpert,293,13,591
128,EST,Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Featherweight,1,Voldemar Väli,225,11,116
129,USA,Athletics at the 1952 Summer Olympics – Men's 110 metres hurdles,2,Jack Davis,316,18,38
130,ITA,Wrestling at the 1956 Summer Olympics - Greco-Roman Heavyweight,3,Adelmo Bulgarelli,126,20,356
131,AUS,Alpine Skiing at the 1998 Winter Olympics -Women's Slalom,3,Zali Steggall,172,41,733
132,GER,Alpine skiing at the 2002 Winter Olympics – Women's combined,3,Martina Ertl,330,43,449
133,GDR,Swimming at the 1988 Summer Olympics – Women's 200 metre backstroke,2,Katrin Zimmermann,119,36,442
134,GBR,Swimming at the 1912 Summer Olympics - Men's 400 metre breaststroke,3,Percy Courtman,22,6,492
135,NGR,Athletics at the 1996 Summer Olympics - Women's 200 metres,3,Mary Onyali-Omagbemi,127,40,716
136,JPN,Wrestling at the 1984 Summer Olympics - Men's freestyle Flyweight,3,Yuji Takada,39,33,374
137,CHN,Weightlifting at the 1996 Summer Olympics - Men's 54-59 kg,1,Tang Lingsheng,264,40,549
138,CUB,Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Welterweight,1,Feliberto Ascuy,267,40,495
139,GRE,Athletics at the 2004 Summer Olympics - Women's 400 metres Hurdles,1,Faní Halkiá,239,44,693
140,SVK,Canoeing at the 2012 Summer Olympics – Men's slalom C-1,3,Michal Martikán,92,48,416
