teamID, name
2064,Kaido Kreen
2064,Avo Keel
2065,Mike Whitmarsh
2065,Mike Dodd
2068,Axel Hager
2068,Jörg Ahmann
2083,Carlos Jayme
2083,Gustavo Borges
2083,Edvaldo Valério
2083,Fernando Scherer
2084,Fred Tyler
2084,John Kinsella
2084,Mark Spitz
2084,Steve Genter
2127,Andreea Grigore
2127,Steliana Nistor
2127,Andreea Acatrinei
2127,Anamaria Tamirjan
2127,Sandra Izbasa
2127,Gabriela Dragoi
2213,Lenny Krayzelburg
2213,Brendan Hansen
2213,Neil Walker
2213,Michael Phelps
2213,Jason Lezak
2213,Ian Crocker
2213,Mark Gangloff
2213,Aaron Peirsol
2214,Estela Domínguez
2214,Inmaculada Torres
2214,Laura de la Torre
2214,Rita María Oraá
2214,Olga Martín
2214,Carmen Beatriz Miranda
2214,Virginia Cardona
2214,Asunción Domenech
2214,Inmaculada González
2214,María del Mar Rey
2214,Ana María Tostado
2214,Marta Gens
2222,Luo Yutong
2222,Qin Kai
2228,Gabrielle Douglas
2228,McKayla Maroney
2228,Kyla Ross
2228,Jordyn Wieber
2228,Alexandra Raisman
2234,Tullio Gonnelli
2234,Elio Ragni
2234,Gianni Caldana
2234,Orazio Mariani
2297,Gary Hall
2297, Sr.
2303,Thomas Rupprath
2303,Jens Kruppa
2303,Lars Conrad
2303,Helge Meeuw
2303,Steffen Driesen
2393,Kosuke Kitajima
2393,Tomomi Morita
2393,Yoshihiro Okumura
2393,Takashi Yamamoto
2407,Dmitri Sautin
2407,Alexandre Dobroskok
2422,Ilya Zakharov
2422,Evgeny Kuznetsov
2459,Mika Yamauchi
2459,Kumi Nakada
2459,Tomoko Yoshihara
2459,Kazumi Nakamura
2459,Kiyoko Fukuda
2459,Chieko Nakanishi
2459,Yukiko Takahashi
2459,Michiyo Ishihake
2459,Asako Tajimi
2459,Ichiko Sato
2459,Ikuyo Namura
2459,Motoko Obayashi
2507,Lilia Izquierdo
2507,Marlenys Costa
2507,Raisa O'Farrill
2507,Magalys Carvajal
2507,Mireya Luis
2507,Regla Bell
2507,Mercedes Calderón
2507,Ana Fernandez
2507,Norka Latamblet Daudinot
2507,Tania Ortiz Calvo
2507,Idalmis Gato
2507,Regla Torres
2517,Pang Qing
2517,Tong Jian
2518,Nikolaos Siranidis
2518,Thomas Bimis
2532,Jill Sterkel
2532,Wendy Boglioli
2532,Kim Peyton
2532,Shirley Babashoff
2560,Carla McGhee
2560,Lisa Leslie
2560,Sheryl Swoopes
2560,Nikki McCray
2560,Katy Steding
2560,Katrina Felicia McClain
2560,Venus Lacy
2560,Rebecca Lobo
2560,Dawn Staley
2560,Jennifer Azzi
2560,Ruthie Bolton
2560,Teresa Edwards
2606,Diana Chelaru
2606,Sandra Izbasa
2606,Diana Bulimar
2606,C?t?lina Ponor
2606,Larisa Iordache
2630,Emanuel Silva
2630,Fernando Pimenta
2660,Anky van Grunsven
